2025-04-20 16:30:27,91,Plugged in
2025-04-20 16:31:28,92,Plugged in
2025-04-20 16:35:10,93,Plugged in
2025-04-20 16:36:11,93,Plugged in
2025-04-20 16:37:06,93,Plugged
2025-04-20 16:38:04,94,Plugged
2025-04-20 16:38:51,94,Plugged
2025-04-20 16:39:26,94,Plugged in
2025-04-20 16:40:27,94,Plugged in
2025-04-20 16:44:41,95,Plugged in
2025-04-20 16:45:42,95,Plugged in
2025-04-20 16:46:43,95,Plugged in
2025-04-20 16:47:44,96,Plugged in
2025-04-20 16:48:45,96,Plugged in
2025-04-20 16:49:46,96,Plugged in
2025-04-20 16:50:31,96,Plugged in
2025-04-20 16:51:32,96,Plugged in
2025-04-20 16:52:28,96,Plugged in
2025-04-20 16:52:53,96,Plugged in
2025-04-20 16:53:20,96,Plugged in
2025-04-20 16:53:37,96,Plugged in
2025-04-20 16:53:57,96,Plugged in
2025-04-20 16:54:14,96,Plugged in
2025-04-20 16:55:15,96,Plugged in
2025-04-20 17:00:10,96,Plugged in
2025-04-20 17:01:29,96,Plugged in
2025-04-20 17:02:30,100,Unplugged
2025-04-20 17:03:30,100,Plugged in
2025-04-20 17:05:23,100,Plugged in
2025-04-20 17:13:27,96,Plugged in
